system:index,Blue,Elevation,Green,NDBI,NDVI,NIR,NightLights,Red,SWIR,Urban,.geo
2184,0.07851999999999998,10,0.11035124999999998,-0.23768492,0.5821309,0.35101750000000004,0.86,0.09271000000000001,0.21619875,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.9700594824020197,6.5555905331548265]}"
2185,0.02140249999999999,4,0.05863750000000001,-0.3522331,0.644864,0.21822000000000003,1.14,0.04711499999999999,0.10453499999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6881681462453137,6.599518150548271]}"
2186,0.040569999999999995,47,0.0712875,-0.17344728,0.67944187,0.300005,0.63,0.057262499999999994,0.2113175,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8800482909332437,6.681713999045208]}"
2187,0.05737249999999999,12,0.08341500000000002,-0.055041082,0.4794206,0.257765,0.515,0.09070250000000002,0.23087000000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.0428230204157005,6.672551183147188]}"
2188,0.034245,17,0.06391750000000002,-0.21348293,0.70315415,0.30677000000000004,0.66499996,0.0534675,0.19883250000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8700769912795168,6.576072121632752]}"
2189,0.030835,15,0.05561250000000001,-0.33400238,0.7892781,0.30572499999999997,0.53999996,0.03600500000000001,0.1526325,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.898104428144046,6.67632410734049]}"
2190,0.12323499999999998,0,0.1472425,-0.13794814,-0.092692845,0.1204575,0.45999998,0.14506999999999998,0.09125250000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.141997027782496,6.492528800209636]}"
2191,0.01654875,0,0.05564000000000002,-0.20795688,-0.17210157,0.02983124999999999,1.855,0.04223375,0.019559999999999994,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.455055330016298,6.525676634193647]}"
2192,0.03265,0,0.07605875000000001,-0.23532344,0.052192587,0.07900125000000002,0.625,0.07116375,0.04890249999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.8379127298261864,6.434317969798691]}"
2193,0.03435500000000001,14,0.05881624999999999,-0.19802812,0.63094103,0.1980625,0.6,0.04481874999999999,0.13258499999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8940620093655083,6.590624829235488]}"
2194,0.03652749999999999,8,0.06389,-0.16273727,0.6910881,0.2770425,0.565,0.05060749999999997,0.19949250000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8442055110968747,6.638055876236999]}"
2195,0.030037499999999995,18,0.061057500000000015,-0.36822608,0.75331664,0.32412250000000004,0.55499995,0.045602500000000004,0.1496625,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.813483128379987,6.54103782555209]}"
2196,0.03277374999999999,11,0.06466,-0.29711568,0.7175592,0.2919475,1.125,0.04800874999999999,0.15820125,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.983978795024021,6.412219413809351]}"
2197,0.03781999999999999,4,0.0623225,-0.30215093,0.75628775,0.33160249999999997,0.725,0.046015,0.1777125,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.9059197711158857,6.627815081998036]}"
2198,0.02453749999999999,17,0.09273749999999997,-0.38656497,0.61945117,0.35451000000000005,0.745,0.08330500000000002,0.15683999999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.8872302389243485,6.4523741070094935]}"
2199,0.08121499999999998,11,0.10019,-0.068164214,0.4288576,0.25856250000000003,0.585,0.10335250000000001,0.2255625,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.945265980560321,6.654495045936386]}"
2200,0.12756625,9,0.18572875000000003,0.10289575,0.20263433,0.33075,12.98,0.2192925,0.4066225,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.031234753250559,6.458302987884682]}"
2201,0.015448749999999997,8,0.08494125,-0.26965427,0.68064004,0.30865375,0.515,0.05865124999999999,0.1775475,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.189428074784007,6.429467067264445]}"
2202,0.019972500000000004,12,0.04873749999999999,-0.3621855,0.80754375,0.2924425,0.53499997,0.031137499999999985,0.13693,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.793001539902062,6.534839450091666]}"
2203,0.022612500000000008,3,0.05555749999999998,-0.44566447,0.653676,0.22234500000000001,1.26,0.046564999999999995,0.08525749999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.1793623693200166,6.437012915651049]}"
2204,0.053811250000000005,9,0.1012625,-0.12705587,0.52702993,0.314195,8.695,0.09731624999999999,0.24335500000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.974910384936265,6.476628619680721]}"
2205,0.02145749999999999,4,0.05819750000000001,-0.2340185,0.56017804,0.18010500000000002,1.395,0.0507725,0.11179499999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6738849332278134,6.593858764258318]}"
2206,-0.013302500000000009,0,0.04151875000000001,0.037887484,-0.18593356,0.026187500000000002,5.25,0.03814999999999999,0.028249999999999983,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.46987753220427,6.469621760464588]}"
2207,0.054801249999999996,9,0.07927624999999999,-0.28011447,0.64567626,0.31481375,1.28,0.06778124999999999,0.17703875,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.931521756713292,6.542115803893034]}"
2208,0.05988875000000002,5,0.09720625,-0.38495284,0.72440314,0.41791125,0.58,0.06679125,0.18559125,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.043092515000937,6.611645406883885]}"
2209,0.019339999999999996,7,0.055145,-0.31832257,0.6156542,0.19424000000000002,1.31,0.046207499999999985,0.10043750000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.685742694978191,6.4321620131168045]}"
2210,0.03633499999999999,8,0.07618250000000001,-0.20289214,0.6950774,0.32306375,0.73,0.058115,0.21408125,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.800008399118194,6.66850876436865]}"
2211,0.030793749999999995,12,0.05606625000000001,-0.32624733,0.7876676,0.31100500000000003,1.09,0.03694,0.157995,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.691402081268144,6.664735840175348]}"
2212,0.04816000000000001,17,0.0709575,-0.29781064,0.6897292,0.29313,1.19,0.05382500000000001,0.15860000000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.0064412514088605,6.585234937530771]}"
2213,0.07057249999999998,11,0.08934125000000001,-0.321347,0.5636906,0.28170375000000003,0.715,0.07860249999999999,0.144685,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.025036377790134,6.572029702854214]}"
