system:index,Blue,Elevation,Green,NDBI,NDVI,NIR,NightLights,Population,Red,SWIR,Urban,.geo
831,0.09551500000000002,15,0.08611000000000002,-0.31892967,-0.31310138,0.16222999999999999,0.0,0.62107575,0.31012500000000004,0.08377249999999997,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.9458049697307924,6.466657320026994]}"
832,0.09859499999999999,5,0.11088750000000003,-0.18787688,0.1162585,0.2555925,5.0,7.4443383,0.2023525,0.17474250000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.790751177409912,6.393354792842841]}"
833,0.0692525,3,0.060809999999999975,-0.22868034,-0.40254158,0.07816250000000002,19.0,7.4161334,0.18348750000000003,0.049067499999999986,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.4423890845102125,6.59116381840596]}"
834,0.08951999999999999,9,0.08844750000000001,-0.287683,-0.061586004,0.25812250000000003,8.0,2.7460415,0.2920025,0.1427875,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.923342513345953,6.502500099863363]}"
835,0.048545000000000005,16,0.04629,-0.44837272,-0.29895762,0.11987999999999999,0.0,0.6463684,0.22212500000000002,0.04565749999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.0403975691485785,6.582539991678412]}"
836,0.16218875,7,0.18423,-0.10480898,0.08087735,0.2950275,0.0,2.9814649,0.25087625,0.23905125000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.288602082150802,6.397127717036143]}"
837,0.06262499999999999,1,0.06468750000000001,-0.19015631,-0.29454833,0.046729999999999994,0.0,0.5607459,0.08575250000000001,0.031797500000000006,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.2921055117588685,6.417339810928833]}"
838,0.1124,9,0.0981825,-0.30453345,-0.3081216,0.19402000000000003,35.0,29.168373,0.36683000000000004,0.103435,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2006524415536495,6.517591796636571]}"
839,0.06904625,8,0.058719999999999994,-0.39504218,-0.33288965,0.16914625000000003,7.0,2.5571778,0.337955,0.07335,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.0610542464014756,6.430006056434918]}"
840,0.1260675,17,0.115975,-0.31024653,-0.21408504,0.1447675,0.0,1.1012903,0.2236375,0.07621,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8668430562566867,6.533491977165486]}"
841,0.056162500000000004,9,0.041326249999999995,-0.40094662,-0.35589954,0.1583525,7.0,1.823135,0.33334875,0.06771250000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.667147568596917,6.506003529471429]}"
842,0.07333624999999999,-2,0.0688125,-0.34753242,-0.33818808,0.1546125,26.0,14.424822,0.3126275,0.0748625,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.4933235611197895,6.559632951933365]}"
843,0.06367,38,0.07125999999999999,-0.175404,0.033200238,0.2332075,0.0,1.7662207,0.21822000000000003,0.163605,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8714244642056963,6.645871219208838]}"
844,0.12246499999999999,5,0.12590249999999997,-0.19265959,0.008639947,0.2263325,0.0,3.1190307,0.222455,0.15321,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.193200998977309,6.406829522104633]}"
845,0.054815,-1,0.053962500000000024,-0.2941674,-0.3163768,0.06884000000000001,12.0,1.4964373,0.1325575,0.037544999999999995,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.678196846591587,6.483904973482089]}"
